SignalFamily,LookbackDays,FormationDate,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
12M,200,2025-01-01T00:00:00.000000,100000000,111926726.4820726,11926726.482072607,0.11961722433748134,0.07881274299363561,0.2917419475567211,-0.3020262420040174,0.41137575013387107,0.6406040598683272,1.0769155117073332,0.4986376021798365
12M,252,2021-07-01T00:00:00.000000,100000000,503704285.2305087,403704285.2305087,4.060658619108177,0.38361462410585223,0.2846193302571313,-0.34162926212204947,1.3063971035750783,1.6612100275236366,0.947778687053036,0.5700404858299595
12M,252,2022-01-01T00:00:00.000000,100000000,220012518.15988126,120012518.15988126,1.2012542552211078,0.1922403488848059,0.2848632341788175,-0.4113268377293563,0.7723678165018155,0.9876219247187491,0.924591435356259,0.5531531531531532
12M,252,2022-07-01T00:00:00.000000,100000000,496728479.5789918,396728479.5789918,3.950370135501415,0.49326256185827955,0.2775691415258923,-0.29164947170622146,1.6130384026552576,2.2360148019724138,0.9717269813961694,0.5750507099391481
12M,252,2023-01-01T00:00:00.000000,100000000,292441028.7551404,192441028.75514042,1.9332020804193175,0.3610677171101795,0.32714776703469073,-0.33937814473868144,1.126052725742711,1.5981942140655803,1.0791051923800539,0.5301624129930395
12M,252,2023-07-01T00:00:00.000000,100000000,280817558.28239024,180817558.28239024,1.7979066908547106,0.41032483846098344,0.2804807311039779,-0.320111789778873,1.3907836172474646,1.8195445486046509,0.961112891438127,0.5702702702702702
12M,252,2024-01-01T00:00:00.000000,100000000,282476735.07714343,182476735.07714343,1.8175984637739497,0.5155476885877992,0.2704520746496731,-0.31197690589564575,1.7091837207095428,2.2833600596018884,0.9765231300824853,0.5765472312703583
12M,252,2024-07-01T00:00:00.000000,100000000,175020455.45587832,75020455.45587832,0.7569808380069234,0.3267948757778203,0.29241111361497696,-0.2554195600191166,1.1356207066120294,1.7870926661869002,0.961709868418823,0.5560081466395111
12M,252,2025-01-01T00:00:00.000000,100000000,110493847.63823523,10493847.638235226,0.10585243992286686,0.06988958963973269,0.296742415273248,-0.3039675275828234,0.380936704924718,0.5657566568946112,1.048463196920441,0.5040871934604905
12M,300,2021-07-01T00:00:00.000000,100000000,415651922.96680146,315651922.96680146,3.191046897280323,0.3323491145168833,0.30057216973860623,-0.4296193546680742,1.1247994943743667,1.4191410264779982,0.9706038686446719,0.557085020242915
12M,300,2022-01-01T00:00:00.000000,100000000,220012518.15988126,120012518.15988126,1.2012542552211083,0.1922403488848059,0.2848632341788175,-0.4113268377293562,0.7723678165018154,0.9876219247187485,0.9245914353562592,0.5531531531531532
12M,300,2022-07-01T00:00:00.000000,100000000,414128853.6290817,314128853.6290817,3.151896897434902,0.42884779361610237,0.2645253981598081,-0.2677688334419194,1.5088264837329555,2.1528114011092025,1.0190926364186834,0.5588235294117647
12M,300,2023-01-01T00:00:00.000000,100000000,326972130.2744727,226972130.2744727,2.2856732188332733,0.4060400343052841,0.3249508012480089,-0.35244474568834017,1.233688926977472,1.698776949557357,1.0285302771656168,0.5475638051044084
12M,300,2023-07-01T00:00:00.000000,100000000,286589766.9138818,186589766.91388178,1.8485705810810926,0.4188079406093719,0.2854126169242032,-0.32278708510168486,1.3931131228012463,1.8105674364731608,0.9848196162119024,0.5648648648648649
12M,300,2024-01-01T00:00:00.000000,100000000,246830036.9069689,146830036.9069689,1.09575032503174,0.3657588119404105,0.30000589651388426,-0.24903782226335025,1.2135288529797874,1.700990553637108,0.9687153954631197,0.558974358974359
12M,300,2024-07-01T00:00:00.000000,100000000,151368674.0982489,51368674.0982489,0.5243607922832634,0.23554410419884908,0.31567634732828165,-0.2875166270079207,0.8430843103578379,1.3111087818699008,1.0130093319324316,0.5315682281059063
12M,300,2025-01-01T00:00:00.000000,100000000,153458998.4564177,53458998.45641771,0.5276259870475195,0.3290823190372676,0.31327750943850097,-0.2478074533738911,1.0852408454465892,1.71131251829443,1.0090114794704963,0.5422343324250681
